lat;long;nombre_estacion;id_estacion;capacidad;dirección_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-345.727.715;-584.206.642;160 - Godoy Cruz y Libertador;222;20.0;Godoy Cruz 3279;Godoy Cruz;3279.0;Del Libertador Av.;Palermo
-34.623.456;-5.842.489.499.999.990;178 - José Marmol;223;16.0;Marmol, Jose 803;Marmol, Jose;803.0;;Boedo
-345.808.537;-58.434.484;133 - Nicaragua;224;20.0;Nicaragua y Bonpland;Nicaragua;;Bonpland;Palermo
-345.968.511;-584.295.184;109 - Lerma;225;20.0;Lerma 175;Lerma;175.0;Bonpland;Villa Crespo
-34.633.334.999.999.900;-5.841.322.629.999.990;139 - Virrey Liniers;226;20.0;Salcedo 3408;Salcedo;3408.0;Liniers Virrey;Boedo
-346.105.021;-584.327.935;188 - Aranguren;227;20.0;Aranguren, Juan F., Dr. 137;Aranguren, Juan F., Dr.;137.0;Portugal;Caballito
-346.162.819;-58.365.744.400.000.000;010 - Madero UCA;228;20.0;Moreau De Justo, Alicia Av. 1600;Moreau De Justo, Alicia Av.;1600.0;;Puerto Madero
-345.813.811;-584.514.575;243 - PLAZOLETA CELEDONIO FLORES;229;12.0;Cordoba 6599;Cordoba;6599.0;;Chacarita
-345.678.255;-584.645.037;259 - PLAZA CASTELLI;230;16.0;Echeverria 3249;Echeverria;3249.0;;Belgrano
-346.051.305;-58.445.839.799.999.900;384 - PLAZA BENITO NAZAR;231;16.0;Virasoro, Valentin y Figueroa, D. Apolinario, Coronel;Virasoro, Valentin;;Figueroa, D. Apolinario, Coronel;Villa Crespo
-345.599.395;-584.788.904;252 - Tamborini;232;20.0;Tamborini, Jose Pascual 3821;Tamborini, Jose Pascual;3821.0;;Coghlan
-34.553.976.500.000.000;-5.843.603.670.000.000;389 - Plaza República De Mexico;233;24.0;La Pampa 693;La Pampa;693.0;;Belgrano
-345.483.593;-58.447.567.299.999.900;344 - UNIVERSIDAD DI TELLA;234;20.0;Saenz Valiente, Juan Pablo 1001;Saenz Valiente, Juan Pablo;1001.0;;Belgrano
-345.737.764;-584.868.051;281 - JUAN MANUEL DE ROSAS;235;24.0;Triunvirato Av. y Roosevelt Franklin D. Av.;Triunvirato Av.;;Roosevelt Franklin D. Av.;Villa Urquiza
-345.623.422;-58.455.048.399.999.900;254 - Plaza Rafael Hernandez;236;16.0;Vuelta De Obligado 2004;Vuelta De Obligado;2004.0;;Belgrano
-34.636.581.400.000.000;-5.843.670.110.000.000;217 - CACHIMAYO;238;24.0;Cachimayo 1489;Cachimayo;1489.0;;Parque Chacabuco
-34.565.008.899.999.900;-584.201.625;391 - Plaza República de Ecuador;239;20.0;Figueroa Alcorta, Pres. Av. y Dorrego Av.;Figueroa Alcorta, Pres. Av.;;Dorrego Av.;Palermo
-34.558.137;-58.465.559;239 - Vidal;240;24.0;Vidal 2799;Vidal;2799.0;;Belgrano
-34.600.874;-58.494.122.999.999.900;348 - Villa del Parque;241;12.0;Gutierrez, Ricardo 3105;Gutierrez, Ricardo;3105.0;;Villa Del Parque
-345.771.741;-584.032.162;103 - MALBA;242;20.0;San Martin De Tours 3051;San Martin De Tours;3051.0;;Palermo
-345.874.735;-584.842.469;266 - Plaza Alfredo Nobel;244;20.0;Hamburgo 3310;Hamburgo;3310.0;;Parque Chas
-345.522.044;-584.431.506;248 - Husares;245;16.0;Husares 2201;Husares;2201.0;;Belgrano
-34.554.326;-5.843.892.560.000.000;338 - Sucre y Dragones;246;16.0;Sucre, Antonio Jose De, Mcal. 877;Sucre, Antonio Jose De, Mcal.;877.0;Dragones;Belgrano
-345.839.895;-584.666.304;282 - Tronador;247;18.0;Triunvirato Av. y Tronador;Triunvirato Av.;;Tronador;Villa Ortuzar
-345.738.411;-584.742.812;346 - Plaza Zapiola;248;20.0;Donado 2001;Donado;2001.0;;Villa Urquiza
-34.649.843;-58.388.562;307 - LEONARDO PEREYRA;249;16.0;California 2990;California;2990.0;;Barracas
-346.526.797;-58.377.215;366 - Plaza Diaz Velez;250;16.0;Cruz, Osvaldo Av. y San Antonio;Cruz, Osvaldo Av.;;San Antonio;Barracas
-346.446.224;-58.409.772;388 - Plaza Jose C Paz;251;20.0;Pepiri y Paz, Jose C.;Pepiri;;Paz, Jose C.;Parque Patricios
